word|score|sub|emotion|validar score|caso especial
abandonados|1|Decepcionado|Tristeza||
abandonado|1|Decepcionado|Tristeza||
abogado|2|Seguridad|Confianza|*|
aburrido|-1|Por Definir|Por Definir||
absoluto|2|Entusiasmado|Alegría||*
absurdo|-2|Desafortunado|Enfado|*|
abuso|2|molesto|Enfado||
accesible|2|Seguridad|Confianza||
accidente|2|Aterrado|Miedo||
accidentes|1|Aterrado|Miedo||
Admiración|2|Admiración|Sorpresa|*|
acciones|2|Admiración|Sorpresa||
aceptada|3|Encantado|Alegría||
acepta|3|Encantado|Alegría||
aceptado|1|Encantado|Alegría||
aceptable|1|Encantado|Alegría||
aceptación|1|Encantado|Alegría||
aceptando|1|Fascinado|Alegría||
aceptar|3|Encantado|Alegría||
aclarar|3|Encantado|Alegría|*|
acoso|-1|Aterrado|Miedo||
activo|3|Seguridad|Confianza||
activos|2|Seguridad|Confianza||
acuerda|2|Seguridad|Confianza||
acuerdo|1|Seguridad|Confianza||
aconsejable|2|Fe|Confianza|*|
acusado|-1|Molestia|Enfado||
acuerdo|1|Franqueza|Confianza||
apta|1|Seguridad|Confianza|*|
apto|1|Seguridad|Confianza|*|
adaptado|1|Seguridad|Confianza||
adecuada|1|Seguridad|Confianza||
adecuado|2|Seguridad|Confianza||
adecuar|1|Esperanza|Confianza||
admisible|2|Esperanza|Confianza|*|
admite|2|Esperanza|Confianza||
admitido|2|Esperanza|Confianza||
admitir|2|Esperanza|Confianza||
adoptar|1|Esperanza|Confianza|*|
adquirir|3|Encantado|Alegría||
advertencia|-1|Angustiado|Miedo||
advertencias|-2|Angustiado|Miedo||
advertido|1|Angustiado|Miedo||
advertir|1|Determinación|Confianza|*|
acuerdo|2|Franqueza|Confianza|*|
afán|1|Extrañeza|Sorpresa|*|
afectaban|-2|Molestia|Enfado|*|
afectaciones|-2|Molestia|Enfado|*|
afectada|-2|Molestia|Enfado|*|
afectado|-2|Molestia|Enfado|*|
afectan|-2|Molestia|Enfado|*|
afectando|-2|Molestia|Enfado|*|
afectar|-2|Molestia|Enfado|*|
afectara|-2|Molestia|Enfado|*|
afectará|-2|Molestia|Enfado|*|
afectaran|-2|Molestia|Enfado|*|
afectaría|-2|Molestia|Enfado|*|
afectaríamos|-2|Molestia|Enfado|*|
afectarían|-2|Molestia|Enfado|*|
afectarlo|-2|Molestia|Enfado|*|
afectaron|-2|Molestia|Enfado|*|
afectarse|-2|Molestia|Enfado|*|
afecten|1|Molestia|Enfado|*|
afirmación|3|Seguridad|Confianza|*|
afirmar|3|Seguridad|Confianza|*|
ágil|2|Entusiasmado|Alegría|*|
agilicen|-2|Molesto|Enfado|*|
agilidad|3|Tranquilo|Alegría|*|
agilizaran|-2|Molesto|Enfado|*|
agilizarla|-2|Molesto|Enfado|*|
ágilmente|-2|Molesto|Enfado|*|
agotado|-1|Desafortunado|Enfado|*|
agotamiento|-1|Desfavorable|Enfado|*|
agradable|1|Encantado|Alegría|*|
agradecer|3|Confiado|Alegría|*|
agradeceré|3|Confiado|Alegría|*|
agradeceriamos|3|Confiado|Alegría|*|
agradeceríamos|3|Confiado|Alegría|*|
agradecerle|3|Confiado|Alegría|*|
agradecido|3|Complacido|Alegría|*|
agradeciendo|3|Confiado|Alegría|*|
agradecimiento|3|Confiado|Alegría|*|
agradecemos|3|Confiado|Alegría|*|
agresivo|1|Molesto|Enfado|*|
agrietado|-2|Perjudicial|Enfado|*|
agrietamiento|-2|Perjudicial|Enfado|*|
ahorra|3|Seguridad|Confianza|*|
ahorraba|3|Seguridad|Confianza|*|
ahorradora|3|Seguridad|Confianza|*|
ahorradores|3|Seguridad|Confianza|*|
ahorramos|3|Seguridad|Confianza|*|
ahorrando|3|Seguridad|Confianza|*|
ahorraran|3|Seguridad|Confianza|*|
ahorro|3|Determinación|Confianza|*|
ahorró|3|Seguridad|Confianza|*|
ahorros|4|Tranquilo|Alegría|*|
ahorrro|3|Seguridad|Confianza|*|
aislado|1|Apenado|Tristeza||
aislar|1|Apenado|Tristeza|*|
ajusta|2|Molesto|Enfado|*|
ajustan|2|Molesto|Enfado|*|
ajustándolo|2|Molesto|Enfado|*|
ajustándolos|2|Molesto|Enfado|*|
ajustándose|2|Molesto|Enfado|*|
ajustara|2|Molesto|Enfado|*|
ajustará|2|Molesto|Enfado|*|
ajustarán|2|Molesto|Enfado|*|
ajustarla|2|Molesto|Enfado|*|
ajustarlas|2|Molesto|Enfado|*|
ajustarlo|2|Molesto|Enfado|*|
ajustarse|2|Molesto|Enfado|*|
ajuste|4|Seguridad|Confianza|*|
alabanza|2|Esperanza|Confianza||
alarma|-1|Desfavorable|Enfado||
alcance|2|Contento|Alegría||
alcanza|2|Contento|Alegría||
alcanzado|3|Contento|Alegría||
alegre|3|Contento|Alegría||
alegría|2|Contento|Alegría||
alejado|-1|Perjudicial|Enfado|*|
alentado|2|Seguridad|Confianza|*|
alentando|2|Seguridad|Confianza|*|
alentar|1|Seguridad|Confianza|*|
alerta|2|Impresión|Sorpresa||
alertas|2|Impresión|Sorpresa||
alienta|1|Seguridad|Confianza||
aliviar|2|Complacido|Alegría|*|
altercado|-2|Perjudicial|Enfado|*|
amabilidad|3|Fe|Confianza||
amable|3|Fe|Confianza||
amado|3|Contento|Alegría||
amar|3|Contento|Alegría||
amenaza|-1|Angustiado|Miedo||
amenazado|-1|Angustiado|Miedo||
amenazante|-1|Angustiado|Miedo||
amenazas|-1|Angustiado|Miedo||
amigable|3|Seguridad|Confianza||
amigo|3|Seguridad|Confianza||
amistad|3|Seguridad|Confianza||
amor|3|Contento|Alegría||
amores|3|Contento|Alegría||
angustia|-2|Impotente|Tristeza|*|
anhelo|2|Seguridad|Confianza||
ánimo|2|Entusiasmado|Alegría|*|
anomalía|1|Confusión|Sorpresa|*|
anónimo|2|Perjudicial|Enfado|*|
anormal|1|Molestia|Enfado|*|
ansiedad|1|Confusión|Sorpresa||
anticipación|2|Asombro|Sorpresa|*|
anulación|-2|Desafortunado|Enfado|*|
anular|-2|Desfavorable|Enfado|*|
apelación|2|Admiración|Sorpresa|*|
apesta|-1|Perjudicial|Enfado||
aplausos|2|Contento|Alegría||
aplazamiento|1|Adverso|Enfado|*|
aplazar|1|Desafortunado|Enfado|*|
apoyar|3|Esperanza|Confianza||
apoyo|3|Esperanza|Confianza||
apreciación|2|Seguridad|Confianza||
apreciado|3|Seguridad|Confianza||
apreciar|1|Seguridad|Confianza||
aprobación|3|Franqueza|Confianza||
aprobado|3|Franqueza|Confianza||
aprobar|3|Seguridad|Confianza|*|
apropiado|3|Fascinado|Alegría|*|
argumentos|1|irritado|Enfado|*|
armonía|4|Seguridad|Confianza||
arrastre|2|Esperanza|Confianza||
arregla|1|Molestia|Enfado|*|
arreglaán|1|Molestia|Enfado|*|
arreglada|1|Molestia|Enfado|*|
arreglado|1|Molestia|Enfado|*|
arreglan|1|Molestia|Enfado|*|
arreglando|1|Molestia|Enfado|*|
arreglar|1|Molestia|Enfado|*|
arreglara|1|Molestia|Enfado|*|
arreglaran|1|Molestia|Enfado|*|
arreglarán|1|Molestia|Enfado|*|
arreglarla|1|Molestia|Enfado|*|
arreglarlas|1|Molestia|Enfado|*|
arreglaron|1|Molestia|Enfado|*|
arregle|1|Molestia|Enfado|*|
arreglen|1|Molestia|Enfado|*|
arreglo|1|Molestia|Enfado|*|
arreglos|1|Molestia|Enfado|*|
arrestado|1|Molestia|Enfado||
arresto|1|Molestia|Enfado||
arriba|2|Esperanza|Confianza||
arriesgado|2|Esperanza|Confianza||
asalto|-2|Molestia|Enfado||
ascenso|4|Seguridad|Confianza||
asegura|-1|Impotente|Tristeza||
asegurada|-1|Impotente|Tristeza|*|
aseguradas|-1|Impotente|Tristeza|*|
asegurado|1|Impotente|Tristeza||
aseguradora|2|Esperanza|Confianza|*|
asegurados|2|Esperanza|Confianza|*|
aseguramiento|2|Esperanza|Confianza|*|
aseguran|2|Esperanza|Confianza|*|
asegurando|-1|Impotente|Tristeza||
asegurándola|-1|Impotente|Tristeza|*|
asegurándole|-1|Impotente|Tristeza|*|
asegurándolo|-1|Impotente|Tristeza|*|
asegurar|2|Esperanza|Confianza|*|
asegurara|2|Esperanza|Confianza|*|
asegurará|2|Esperanza|Confianza|*|
aseguraremos|2|Esperanza|Confianza|*|
asegurarla|2|Esperanza|Confianza|*|
asegurarlas|2|Esperanza|Confianza|*|
asegurarlo|2|Esperanza|Confianza|*|
asegurarme|2|Esperanza|Confianza|*|
asegurarnos|2|Esperanza|Confianza|*|
aseguras|2|Esperanza|Confianza|*|
asegure|2|Esperanza|Confianza|*|
aseguré|2|Esperanza|Confianza|*|
aseguren|2|Esperanza|Confianza|*|
aseguro|2|Esperanza|Confianza|*|
asentamiento|1|Esperanza|Confianza||
asequible|2|Esperanza|Confianza||
asesinado|-3|Molestia|Enfado||
asesinato|-3|Molestia|Enfado||
asqueroso|-3|irritado|Enfado||
asesoramiento|2|Esperanza|Confianza|*|
asesorar|2|Esperanza|Confianza|*|
asesorara|2|Esperanza|Confianza|*|
asesorarla|2|Esperanza|Confianza|*|
asesorarle|2|Esperanza|Confianza|*|
asesorarlo|2|Esperanza|Confianza|*|
asesorarlos|2|Esperanza|Confianza|*|
asesoraron|2|Esperanza|Confianza|*|
asesorarse|2|Esperanza|Confianza|*|
asesoras|2|Esperanza|Confianza|*|
asesore|2|Esperanza|Confianza|*|
asesoré|2|Esperanza|Confianza|*|
asesoren|2|Esperanza|Confianza|*|
asistencia|3|Entusiasmado|Alegría|*|
asistente|2|Esperanza|Confianza|*|
asociación|2|Franqueza|Confianza|*|
asociar|2|Seguridad|Confianza|*|
asombro|1|Impresión|Sorpresa|*|
asustado|-2|Angustiado|Miedo||
atacado|-3|Angustiado|Miedo||
ataque|-3|Angustiado|Miedo||
ataques|-3|Angustiado|Miedo||
atascado|-3|Angustiado|Miedo||
atención|3|Tranquilo|Alegría|*|
atender|3|Esperanza|Confianza|*|
atendido|3|Seguridad|Confianza|*|
atento|3|Fe|Confianza|*|
aterrador|1|Angustiado|Miedo||
atracción|2|Impresión|Sorpresa||
atracciones|1|Impresión|Sorpresa||
atractivo|3|Contento|Alegría||
atraer|3|Contento|Alegría||
atrasado|-1|Desafortunado|Enfado|*|
atrasos|-1|Desfavorable|Enfado|*|
atrevimiento|1|Impresión|Sorpresa|*|
atroz|1|Desfavorable|Enfado||
aumentado|2|Fe|Confianza||
aumento|2|Fe|Confianza||
ausencia|-1|Desfavorable|Enfado||
autenticación|3|Esperanza|Confianza|*|
autenticidad|3|Fascinado|Alegría|*|
autoridad|1|Esperanza|Confianza||
autorizado|2|Esperanza|Confianza|*|
autorizar|2|Determinación|Confianza|*|
avance|3|Determinación|Confianza|*|
avancemos|3|Determinación|Confianza|*|
avances|3|Determinación|Confianza|*|
avanza|3|Determinación|Confianza|*|
avanzada|3|Determinación|Confianza|*|
avanzado|3|Entusiasmado|Alegría|*|
avanzamos|3|Entusiasmado|Alegría|*|
avanzando|3|Entusiasmado|Alegría|*|
